StudyID,GroupID,SnapshotDate,n,n_at_risk,n_flagged,n_at_risk_or_flagged
AA-AA-000-0000,1,2009-03-01,1,0,0,0
AA-AA-000-0000,1,2009-06-01,1,0,0,0
AA-AA-000-0000,1,2009-09-01,1,0,0,0
AA-AA-000-0000,1,2009-12-01,1,0,0,0
AA-AA-000-0000,1,2010-03-01,1,0,0,0
AA-AA-000-0000,1,2010-06-01,1,0,0,0
AA-AA-000-0000,1,2010-09-01,1,0,0,0
AA-AA-000-0000,1,2010-12-01,1,0,0,0
AA-AA-000-0000,1,2011-03-01,1,0,0,0
AA-AA-000-0000,1,2011-06-01,1,0,0,0
AA-AA-000-0000,1,2011-09-01,1,0,0,0
AA-AA-000-0000,1,2011-12-01,1,0,0,0
AA-AA-000-0000,1,2012-03-01,1,0,0,0
AA-AA-000-0000,1,2012-06-01,1,0,0,0
AA-AA-000-0000,1,2012-09-01,1,0,0,0
AA-AA-000-0000,1,2012-12-01,1,0,0,0
AA-AA-000-0000,1,2013-03-01,1,0,0,0
AA-AA-000-0000,1,2013-06-01,1,0,0,0
AA-AA-000-0000,1,2013-09-01,1,0,0,0
AA-AA-000-0000,1,2013-12-01,1,0,0,0
AA-AA-000-0000,1,2014-03-01,1,0,0,0
AA-AA-000-0000,1,2014-06-01,1,0,0,0
AA-AA-000-0000,1,2014-09-01,1,0,0,0
AA-AA-000-0000,1,2014-12-01,1,0,0,0
AA-AA-000-0000,1,2015-03-01,1,0,0,0
AA-AA-000-0000,1,2015-06-01,1,0,0,0
AA-AA-000-0000,1,2015-09-01,1,0,0,0
AA-AA-000-0000,1,2015-12-01,1,0,0,0
AA-AA-000-0000,1,2016-03-01,1,0,0,0
AA-AA-000-0000,1,2016-06-01,1,0,0,0
AA-AA-000-0000,1,2016-09-01,1,0,0,0
AA-AA-000-0000,1,2016-12-01,1,0,0,0
AA-AA-000-0000,1,2017-03-01,1,0,0,0
AA-AA-000-0000,1,2017-06-01,1,0,0,0
AA-AA-000-0000,1,2017-09-01,1,0,0,0
AA-AA-000-0000,1,2017-12-01,1,0,0,0
AA-AA-000-0000,1,2018-03-01,1,0,0,0
AA-AA-000-0000,1,2018-06-01,1,0,0,0
AA-AA-000-0000,1,2018-09-01,1,0,0,0
AA-AA-000-0000,1,2018-12-01,1,0,0,0
AA-AA-000-0000,1,2019-03-01,1,0,0,0
AA-AA-000-0000,1,2019-06-01,1,0,0,0
AA-AA-000-0000,1,2019-09-01,1,0,0,0
AA-AA-000-0000,1,2019-12-01,1,0,0,0
AA-AA-000-0000,10,2004-03-01,10,0,0,0
AA-AA-000-0000,10,2004-06-01,12,0,1,1
AA-AA-000-0000,10,2004-09-01,12,1,0,1
AA-AA-000-0000,10,2004-12-01,12,1,0,1
AA-AA-000-0000,10,2005-03-01,12,1,0,1
AA-AA-000-0000,10,2005-06-01,12,1,0,1
AA-AA-000-0000,10,2005-09-01,12,1,0,1
AA-AA-000-0000,10,2005-12-01,12,1,0,1
AA-AA-000-0000,10,2006-03-01,12,0,0,0
AA-AA-000-0000,10,2006-06-01,12,0,0,0
AA-AA-000-0000,10,2006-09-01,12,0,0,0
AA-AA-000-0000,10,2006-12-01,12,0,0,0
AA-AA-000-0000,10,2007-03-01,12,0,0,0
AA-AA-000-0000,10,2007-06-01,12,0,0,0
AA-AA-000-0000,10,2007-09-01,12,0,0,0
AA-AA-000-0000,10,2007-12-01,12,0,0,0
AA-AA-000-0000,10,2008-03-01,12,0,0,0
AA-AA-000-0000,10,2008-06-01,12,0,0,0
AA-AA-000-0000,10,2008-09-01,12,0,0,0
AA-AA-000-0000,10,2008-12-01,12,0,0,0
AA-AA-000-0000,10,2009-03-01,12,0,0,0
AA-AA-000-0000,10,2009-06-01,12,0,0,0
AA-AA-000-0000,10,2009-09-01,12,0,0,0
AA-AA-000-0000,10,2009-12-01,12,0,0,0
AA-AA-000-0000,10,2010-03-01,12,0,0,0
AA-AA-000-0000,10,2010-06-01,12,0,0,0
AA-AA-000-0000,10,2010-09-01,12,1,0,1
AA-AA-000-0000,10,2010-12-01,12,1,0,1
AA-AA-000-0000,10,2011-03-01,12,1,0,1
AA-AA-000-0000,10,2011-06-01,12,1,0,1
AA-AA-000-0000,10,2011-09-01,12,1,0,1
AA-AA-000-0000,10,2011-12-01,12,1,0,1
AA-AA-000-0000,10,2012-03-01,12,1,0,1
AA-AA-000-0000,10,2012-06-01,12,1,0,1
AA-AA-000-0000,10,2012-09-01,12,1,0,1
AA-AA-000-0000,10,2012-12-01,12,1,0,1
AA-AA-000-0000,10,2013-03-01,12,1,0,1
AA-AA-000-0000,10,2013-06-01,12,1,0,1
AA-AA-000-0000,10,2013-09-01,12,1,0,1
AA-AA-000-0000,10,2013-12-01,12,1,0,1
AA-AA-000-0000,10,2014-03-01,12,1,0,1
AA-AA-000-0000,10,2014-06-01,12,1,0,1
AA-AA-000-0000,10,2014-09-01,12,0,0,0
AA-AA-000-0000,10,2014-12-01,12,1,0,1
AA-AA-000-0000,10,2015-03-01,12,1,0,1
AA-AA-000-0000,10,2015-06-01,12,0,0,0
AA-AA-000-0000,10,2015-09-01,12,1,0,1
AA-AA-000-0000,10,2015-12-01,12,1,0,1
AA-AA-000-0000,10,2016-03-01,12,1,0,1
AA-AA-000-0000,10,2016-06-01,12,0,0,0
AA-AA-000-0000,10,2016-09-01,12,1,0,1
