StudyID,MetricID,GroupID,Numerator,Denominator,Metric,Score,Flag,SnapshotDate
AA-AA-000-0000,cou0001,US,3240,626477,0.005171778,0.991556532,0,2023-05-01
AA-AA-000-0000,cou0001,Japan,528,117262,0.004502737,-0.777538791,0,2023-05-01
AA-AA-000-0000,cou0001,China,841,190411,0.004416762,-1.188380862,0,2023-05-01
AA-AA-000-0000,cou0002,US,108,626477,0.000172393,0.988951099,0,2023-05-01
AA-AA-000-0000,cou0002,Japan,11,117262,9.38070304105337e-05,-0.733709283,0,2023-05-01
AA-AA-000-0000,cou0002,China,15,190411,7.87769614150443e-05,-1.21805025,0,2023-05-01
AA-AA-000-0000,cou0003,Japan,605,124179,0.004871999,1.241482574,0,2023-05-01
AA-AA-000-0000,cou0003,China,888,199937,0.004441399,0.746689171,0,2023-05-01
AA-AA-000-0000,cou0003,US,2497,660250,0.003781901,-0.949303061,0,2023-05-01
AA-AA-000-0000,cou0004,Japan,79,124179,0.000636178,1.537444571,0,2023-05-01
AA-AA-000-0000,cou0004,China,101,199937,0.000505159,0.194242786,0,2023-05-01
AA-AA-000-0000,cou0004,US,303,660250,0.000458917,-0.773649748,0,2023-05-01
AA-AA-000-0000,cou0005,Japan,164,133094,0.001232212,0.413277038,0,2023-05-01
AA-AA-000-0000,cou0005,US,862,711262,0.00121193,0.662225178,0,2023-05-01
AA-AA-000-0000,cou0005,China,204,210428,0.000969453,-1.546175897,0,2023-05-01
AA-AA-000-0000,cou0006,Japan,22,165,0.133333333,1.386080116,0,2023-05-01
AA-AA-000-0000,cou0006,US,82,879,0.093287827,-0.039318838,0,2023-05-01
AA-AA-000-0000,cou0006,China,18,257,0.070038911,-1.037899774,0,2023-05-01
AA-AA-000-0000,cou0007,Japan,22,165,0.133333333,1.353232625,0,2023-05-01
AA-AA-000-0000,cou0007,US,77,879,0.087599545,-0.001732848,0,2023-05-01
AA-AA-000-0000,cou0007,China,15,257,0.058365759,-1.081091329,0,2023-05-01
AA-AA-000-0000,cou0008,Japan,5181,258538,0.020039607,0.381373391,0,2023-05-01
AA-AA-000-0000,cou0008,US,27745,1385561,0.02002438,0.676017138,0,2023-05-01
AA-AA-000-0000,cou0008,China,8074,408506,0.019764704,-1.548404071,0,2023-05-01
AA-AA-000-0000,cou0009,US,751,27745,0.02706794,0.979263851,0,2023-05-01
AA-AA-000-0000,cou0009,Japan,125,5181,0.024126616,-0.742324726,0,2023-05-01
AA-AA-000-0000,cou0009,China,190,8074,0.023532326,-1.220654051,0,2023-05-01
AA-AA-000-0000,cou0010,Japan,1269,29825,0.042548198,1.246038827,0,2023-05-01
AA-AA-000-0000,cou0010,US,6705,158606,0.042274567,0.112193727,0,2023-05-01
AA-AA-000-0000,cou0010,China,1979,47068,0.042045551,-1.197831294,0,2023-05-01
AA-AA-000-0000,cou0011,US,8087,1385561,0.005836625,0.979043541,0,2023-05-01
AA-AA-000-0000,cou0011,China,2229,408506,0.005456468,-0.964387189,0,2023-05-01
