"MetricID","GroupLevel","Abbreviation","Metric","Numerator","Denominator","Model","Score","Threshold","RiskScoreWeight","Flag"
"cou0001","Country","AE","Adverse Event Rate","Adverse Events","Days on Study","Normal Approximation","Adjusted Z-Score","-2,-1,2,3",NA,"-2,-1,0,1,2"
"cou0002","Country","SAE","Serious Adverse Event Rate","Serious Adverse Events","Days on Study","Normal Approximation","Adjusted Z-Score","-2,-1,2,3",NA,"-2,-1,0,1,2"
"cou0003","Country","PD","Non-Important Protocol Deviation Rate","Non-Important Protocol Deviations","Days on Study","Normal Approximation","Adjusted Z-Score","-3,-2,2,3",NA,"-2,-1,0,1,2"
"cou0004","Country","IPD","Important Protocol Deviation Rate","Important Protocol Deviations","Days on Study","Normal Approximation","Adjusted Z-Score","-3,-2,2,3",NA,"-2,-1,0,1,2"
"cou0005","Country","LB","Grade 3+ Lab Abnormality Rate","Grade 3+ Abnormal Labs Samples","Total Lab Samples","Normal Approximation","Adjusted Z-Score","2,3",NA,"0,1,2"
"cou0006","Country","SDSC","Study Discontinuation Rate","Subjects Discontinued - Study","Enrolled Subjects","Normal Approximation","Adjusted Z-Score","2,3",NA,"0,1,2"
"cou0007","Country","TDSC","Treatment Discontinuation Rate","Subjects Discontinued - Treatment","Enrolled Subjects","Normal Approximation","Adjusted Z-Score","2,3",NA,"0,1,2"
"cou0008","Country","QRY","Query Rate","Queries","Total Data Points","Normal Approximation","Adjusted Z-Score","2,3",NA,"0,1,2"
"cou0009","Country","OQRY","Delayed Query Resolution Rate","Queries That Were Open > 30 Days","Total Queries","Normal Approximation","Adjusted Z-Score","2,3",NA,"0,1,2"
"cou0010","Country","ODAT","Delayed Data Entry Rate","Data Pages Entered > 10 Days","Total Data Pages","Normal Approximation","Adjusted Z-Score","2,3",NA,"0,1,2"
"cou0011","Country","CDAT","Data Change Rate","Data Points with 1+ Change","Total Data Points","Normal Approximation","Adjusted Z-Score","2,3",NA,"0,1,2"
"cou0012","Country","SF","Screen Failure Rate","Screen Failures","Screened Subjects","Normal Approximation","Adjusted Z-Score","-3,-2,2,3",NA,"-2,-1,0,1,2"
"cou0013","Country","PK","PK Collection Compliance Rate","PK Samples Collected","PK Samples Expected","Identity","PK Collection Compliance Rate","0.9,0.85",NA,"-2,-1,0"
"kri0001","Site","AE","Adverse Event Rate","Adverse Events","Days on Study","Normal Approximation","Adjusted Z-Score","-2,-1,2,3","32,16,0,1,2","-2,-1,0,1,2"
"kri0002","Site","SAE","Serious Adverse Event Rate","Serious Adverse Events","Days on Study","Normal Approximation","Adjusted Z-Score","-2,-1,2,3","8,0,0,4,8","-2,-1,0,1,2"
"kri0003","Site","PD","Non-Important Protocol Deviation Rate","Non-Important Protocol Deviations","Days on Study","Normal Approximation","Adjusted Z-Score","-3,-2,2,3","8,4,0,8,16","-2,-1,0,1,2"
"kri0004","Site","IPD","Important Protocol Deviation Rate","Important Protocol Deviations","Days on Study","Normal Approximation","Adjusted Z-Score","-3,-2,2,3","0,0,0,16,32","-2,-1,0,1,2"
"kri0005","Site","LB","Grade 3+ Lab Abnormality Rate","Grade 3+ Abnormal Labs Samples","Total Lab Samples","Normal Approximation","Adjusted Z-Score","2,3","0,1,2","0,1,2"
"kri0006","Site","SDSC","Study Discontinuation Rate","Subjects Discontinued - Study","Enrolled Subjects","Normal Approximation","Adjusted Z-Score","2,3","0,16,32","0,1,2"
"kri0007","Site","TDSC","Treatment Discontinuation Rate","Subjects Discontinued - Treatment","Enrolled Subjects","Normal Approximation","Adjusted Z-Score","2,3","0,16,32","0,1,2"
"kri0008","Site","QRY","Query Rate","Queries","Total Data Points","Normal Approximation","Adjusted Z-Score","2,3","0,1,2","0,1,2"
"kri0009","Site","OQRY","Delayed Query Resolution Rate","Queries That Were Open > 30 Days","Total Queries","Normal Approximation","Adjusted Z-Score","2,3","0,1,2","0,1,2"
"kri0010","Site","ODAT","Delayed Data Entry Rate","Data Pages Entered > 10 Days","Total Data Pages","Normal Approximation","Adjusted Z-Score","2,3","0,1,2","0,1,2"
"kri0011","Site","CDAT","Data Change Rate","Data Points with 1+ Change","Total Data Points","Normal Approximation","Adjusted Z-Score","2,3","0,1,2","0,1,2"
"kri0012","Site","SF","Screen Failure Rate","Screen Failures","Screened Subjects","Normal Approximation","Adjusted Z-Score","-3,-2,2,3","0,0,0,8,16","-2,-1,0,1,2"
"kri0013","Site","PK","PK Collection Compliance Rate","PK Samples Collected","PK Samples Expected","Identity","PK Collection Compliance Rate","0.9,0.85","2,1,0","-2,-1,0"
"qtl0004","Study","IPD","Important PD Rate","Important PDs","Days in Study","Poisson Test","Poisson Confidence Interval - Lower Bound","0.01",NA,"0,2"
"qtl0006","Study","SDSC","Study Discontinuation Rate","Subjects Discontinued - Study","Total Subjects","Binomial Test","Binomial Confidence Interval - Lower Bound","0.2",NA,"0,2"
"srs0001","Site","SRS","Site Risk Score","Weight","Maximum Weights","Identity","Normalized Risk Score",NA,NA,NA
