StudyID,MetricID,Threshold,Numerator,Denominator,LogDenominator,SnapshotDate
AA-AA-000-0000,cou0001,-3,375.1387688,115225.14,11.65464323,2023-05-01
AA-AA-000-0000,cou0001,-3,383.4867897,117262,11.67216603,2023-05-01
AA-AA-000-0000,cou0001,-3,391.8495265,119298.86,11.68938705,2023-05-01
AA-AA-000-0000,cou0001,-3,400.2266038,121335.72,11.70631653,2023-05-01
AA-AA-000-0000,cou0001,-3,408.6176618,123372.58,11.72296416,2023-05-01
AA-AA-000-0000,cou0001,-3,417.0223559,125409.44,11.73933918,2023-05-01
AA-AA-000-0000,cou0001,-3,425.4403552,127446.3,11.75545038,2023-05-01
AA-AA-000-0000,cou0001,-3,433.8713418,129483.16,11.77130611,2023-05-01
AA-AA-000-0000,cou0001,-3,442.3150105,131520.02,11.78691436,2023-05-01
AA-AA-000-0000,cou0001,-3,450.7710679,133556.88,11.80228273,2023-05-01
AA-AA-000-0000,cou0001,-3,459.2392316,135593.74,11.81741849,2023-05-01
AA-AA-000-0000,cou0001,-3,467.7192297,137630.6,11.83232856,2023-05-01
AA-AA-000-0000,cou0001,-3,476.2108005,139667.46,11.84701959,2023-05-01
AA-AA-000-0000,cou0001,-3,484.7136919,141704.32,11.86149791,2023-05-01
AA-AA-000-0000,cou0001,-3,493.2276604,143741.18,11.8757696,2023-05-01
AA-AA-000-0000,cou0001,-3,501.7524716,145778.04,11.88984047,2023-05-01
AA-AA-000-0000,cou0001,-3,510.2878989,147814.9,11.90371609,2023-05-01
AA-AA-000-0000,cou0001,-3,518.8337237,149851.76,11.91740182,2023-05-01
AA-AA-000-0000,cou0001,-3,527.3897346,151888.62,11.93090277,2023-05-01
AA-AA-000-0000,cou0001,-3,535.9557275,153925.48,11.94422387,2023-05-01
AA-AA-000-0000,cou0001,-3,544.5315048,155962.34,11.95736985,2023-05-01
AA-AA-000-0000,cou0001,-3,553.1168755,157999.2,11.97034525,2023-05-01
AA-AA-000-0000,cou0001,-3,561.7116547,160036.06,11.98315444,2023-05-01
AA-AA-000-0000,cou0001,-3,570.3156632,162072.92,11.99580164,2023-05-01
AA-AA-000-0000,cou0001,-3,578.9287277,164109.78,12.00829087,2023-05-01
AA-AA-000-0000,cou0001,-3,587.5506801,166146.64,12.02062605,2023-05-01
AA-AA-000-0000,cou0001,-3,596.1813574,168183.5,12.03281092,2023-05-01
AA-AA-000-0000,cou0001,-3,604.8206016,170220.36,12.04484911,2023-05-01
AA-AA-000-0000,cou0001,-3,613.4682594,172257.22,12.0567441,2023-05-01
AA-AA-000-0000,cou0001,-3,622.1241819,174294.08,12.06849927,2023-05-01
AA-AA-000-0000,cou0001,-3,630.7882248,176330.94,12.08011785,2023-05-01
AA-AA-000-0000,cou0001,-3,639.4602476,178367.8,12.09160299,2023-05-01
AA-AA-000-0000,cou0001,-3,648.1401142,180404.66,12.10295772,2023-05-01
AA-AA-000-0000,cou0001,-3,656.827692,182441.52,12.11418496,2023-05-01
AA-AA-000-0000,cou0001,-3,665.5228523,184478.38,12.12528755,2023-05-01
AA-AA-000-0000,cou0001,-3,674.2254698,186515.24,12.13626823,2023-05-01
AA-AA-000-0000,cou0001,-3,682.9354226,188552.1,12.14712964,2023-05-01
AA-AA-000-0000,cou0001,-3,691.6525923,190588.96,12.15787435,2023-05-01
AA-AA-000-0000,cou0001,-3,700.3768635,192625.82,12.16850483,2023-05-01
AA-AA-000-0000,cou0001,-3,709.1081238,194662.68,12.17902349,2023-05-01
