MetricID,GroupLevel,Abbreviation,Metric,Numerator,Denominator,Outcome,Model,Score,Thresholds
kri0001,Site,AE,Non-serious AE Reporting Rate,AEs,Days on Treatment,Rate,Normal Approximation (Rate),Adjusted Z-Score,"-2,-1,2,3"
kri0002,Site,SAE,SAE Reporting Rate,SAEs,Days on Treatment,Rate,Normal Approximation (Rate),Adjusted Z-Score,"-2,-1,2,3"
kri0003,Site,PD,Non-important PD Rate,Non-important PDs,Days in Study,Rate,Normal Approximation (Rate),Adjusted Z-Score,"-3,-2,2,3"
kri0004,Site,IPD,Important PD Rate,Important PDs,Days in Study,Rate,Normal Approximation (Rate),Adjusted Z-Score,"-3,-2,2,3"
kri0005,Site,LB,G3+ Lab Abnormality Rate,G3+ Abnormal Lab Samples,Total Lab Samples,Percent,Normal Approximation (Percent),Adjusted Z-Score,"-3,-2,2,3"
kri0006,Site,SDSC,Study Discontinuation Rate,Subjects Discontinued - Study,Total Subjects,Percent,Normal Approximation (Percent),Adjusted Z-Score,"-3,-2,2,3"
kri0007,Site,TDSC,Treatment Discontinuation Rate,Subjects Discontinued - Treatment,Total Subjects,Percent,Normal Approximation (Percent),Adjusted Z-Score,"-3,-2,2,3"
kri0008,Site,QRY,Query Rate,Queries,Total Data Points,Rate,Normal Approximation (Rate),Adjusted Z-Score,"-3,-2,2,3"
kri0009,Site,OQRY,Outstanding Query Rate,Queries Open > 30 Days,Total Queries,Percent,Normal Approximation (Percent),Adjusted Z-Score,"-3,-2,2,3"
kri0010,Site,ODAT,Outstanding Data Entry Rate,Data Pages Entered > 10 Days,Total Data Pages,Percent,Normal Approximation (Percent),Adjusted Z-Score,"-3,-2,2,3"
kri0011,Site,CDAT,Data Change Rate,Data Points with 1+ Change,Total Data Points,Percent,Normal Approximation (Percent),Adjusted Z-Score,"-3,-2,2,3"
kri0012,Site,SF,Screen Failure Rate,Screen Failures,Total Screened,Percent,Normal Approximation (Percent),Adjusted Z-Score,"-3,-2,2,3"
cou0001,Country,AE,Non-serious AE Reporting Rate,AEs,Days on Treatment,Rate,Normal Approximation (Rate),Adjusted Z-Score,"-2,-1,2,3"
cou0002,Country,SAE,SAE Reporting Rate,SAEs,Days on Treatment,Rate,Normal Approximation (Rate),Adjusted Z-Score,"-2,-1,2,3"
cou0003,Country,PD,Non-important PD Rate,Non-important PDs,Days in Study,Rate,Normal Approximation (Rate),Adjusted Z-Score,"-3,-2,2,3"
cou0004,Country,IPD,Important PD Rate,Important PDs,Days in Study,Rate,Normal Approximation (Percent),Adjusted Z-Score,"-3,-2,2,3"
cou0005,Country,LB,G3 or Higher Lab Abnormality Rate,G3+ Abnormal Lab Samples,Total Lab Samples,Percent,Normal Approximation (Percent),Adjusted Z-Score,"-3,-2,2,3"
cou0006,Country,SDSC,Study Discontinuation Rate,Subjects Discontinued - Study,Total Subjects,Percent,Normal Approximation (Percent),Adjusted Z-Score,"-3,-2,2,3"
cou0007,Country,TDSC,Treatment Discontinuation Rate,Subjects Discontinued - Treatment,Total Subjects,Percent,Normal Approximation (Percent),Adjusted Z-Score,"-3,-2,2,3"
cou0008,Country,QRY,Query Rate,Queries,Total Data Points,Rate,Normal Approximation (Rate),Adjusted Z-Score,"-3,-2,2,3"
cou0009,Country,OQRY,Outstanding Query Rate,Queries Open > 30 Days,Total Queries,Percent,Normal Approximation (Percent),Adjusted Z-Score,"-3,-2,2,3"
cou0010,Country,ODAT,Outstanding Data Entry Rate,Data Pages Entered > 10 Days,Total Data Pages,Percent,Normal Approximation (Percent),Adjusted Z-Score,"-3,-2,2,3"
cou0011,Country,CDAT,Data Change Rate,Data Points with 1+ Change,Total Data Points,Percent,Normal Approximation (Percent),Adjusted Z-Score,"-3,-2,2,3"
cou0012,Country,SF,Screen Failure Rate,Screen Failures,Total Screened,Percent,Normal Approximation (Percent),Adjusted Z-Score,"-3,-2,2,3"
qtl0004,Study,IPD,Important PD Rate,Important PDs,Days in Study,Rate,Poisson Test,Poisson Confidence Interval - Lower Bound,0.01
qtl0006,Study,SDSC,Study Discontinuation Rate,Subjects Discontinued - Study,Total Subjects,Percent,Binomial Test,Binomial Confidence Interval - Lower Bound,0.2
srs0001,Site,SRS,Study Risk Score,Weight,Maximum Weights,Identity,identity,Normalized Risk Score,"60,30"
