StudyID,MetricID,SnapshotDate,n,n_at_risk,n_flagged,n_at_risk_or_flagged
AA-AA-000-0000,cou0001,2003-12-01,2,0,0,0
AA-AA-000-0000,cou0001,2004-03-01,3,0,0,0
AA-AA-000-0000,cou0001,2004-06-01,3,0,0,0
AA-AA-000-0000,cou0001,2004-09-01,3,0,0,0
AA-AA-000-0000,cou0001,2004-12-01,3,0,0,0
AA-AA-000-0000,cou0001,2005-03-01,3,0,0,0
AA-AA-000-0000,cou0001,2005-06-01,3,0,0,0
AA-AA-000-0000,cou0001,2005-09-01,3,0,0,0
AA-AA-000-0000,cou0001,2005-12-01,3,0,0,0
AA-AA-000-0000,cou0001,2006-03-01,3,0,0,0
AA-AA-000-0000,cou0001,2006-06-01,3,0,0,0
AA-AA-000-0000,cou0001,2006-09-01,3,0,0,0
AA-AA-000-0000,cou0001,2006-12-01,3,0,0,0
AA-AA-000-0000,cou0001,2007-03-01,3,0,0,0
AA-AA-000-0000,cou0001,2007-06-01,3,0,0,0
AA-AA-000-0000,cou0001,2007-09-01,3,0,0,0
AA-AA-000-0000,cou0001,2007-12-01,3,0,0,0
AA-AA-000-0000,cou0001,2008-03-01,3,0,0,0
AA-AA-000-0000,cou0001,2008-06-01,3,0,0,0
AA-AA-000-0000,cou0001,2008-09-01,3,0,0,0
AA-AA-000-0000,cou0001,2008-12-01,3,0,0,0
AA-AA-000-0000,cou0001,2009-03-01,3,0,0,0
AA-AA-000-0000,cou0001,2009-06-01,3,0,0,0
AA-AA-000-0000,cou0001,2009-09-01,3,0,0,0
AA-AA-000-0000,cou0001,2009-12-01,3,0,0,0
AA-AA-000-0000,cou0001,2010-03-01,3,0,0,0
AA-AA-000-0000,cou0001,2010-06-01,3,0,0,0
AA-AA-000-0000,cou0001,2010-09-01,3,0,0,0
AA-AA-000-0000,cou0001,2010-12-01,3,0,0,0
AA-AA-000-0000,cou0001,2011-03-01,3,0,0,0
AA-AA-000-0000,cou0001,2011-06-01,3,0,0,0
AA-AA-000-0000,cou0001,2011-09-01,3,0,0,0
AA-AA-000-0000,cou0001,2011-12-01,3,0,0,0
AA-AA-000-0000,cou0001,2012-03-01,3,0,0,0
AA-AA-000-0000,cou0001,2012-06-01,3,0,0,0
AA-AA-000-0000,cou0001,2012-09-01,3,0,0,0
AA-AA-000-0000,cou0001,2012-12-01,3,0,0,0
AA-AA-000-0000,cou0001,2013-03-01,3,0,0,0
AA-AA-000-0000,cou0001,2013-06-01,3,0,0,0
AA-AA-000-0000,cou0001,2013-09-01,3,0,0,0
AA-AA-000-0000,cou0001,2013-12-01,3,0,0,0
AA-AA-000-0000,cou0001,2014-03-01,3,0,0,0
AA-AA-000-0000,cou0001,2014-06-01,3,0,0,0
AA-AA-000-0000,cou0001,2014-09-01,3,0,0,0
AA-AA-000-0000,cou0001,2014-12-01,3,0,0,0
AA-AA-000-0000,cou0001,2015-03-01,3,0,0,0
AA-AA-000-0000,cou0001,2015-06-01,3,0,0,0
AA-AA-000-0000,cou0001,2015-09-01,3,0,0,0
AA-AA-000-0000,cou0001,2015-12-01,3,0,0,0
AA-AA-000-0000,cou0001,2016-03-01,3,0,0,0
AA-AA-000-0000,cou0001,2016-06-01,3,0,0,0
AA-AA-000-0000,cou0001,2016-09-01,3,0,0,0
AA-AA-000-0000,cou0001,2016-12-01,3,0,0,0
AA-AA-000-0000,cou0001,2017-03-01,3,0,0,0
AA-AA-000-0000,cou0001,2017-06-01,3,0,0,0
AA-AA-000-0000,cou0001,2017-09-01,3,0,0,0
AA-AA-000-0000,cou0001,2017-12-01,3,0,0,0
AA-AA-000-0000,cou0001,2018-03-01,3,0,0,0
AA-AA-000-0000,cou0001,2018-06-01,3,0,0,0
AA-AA-000-0000,cou0001,2018-09-01,3,0,0,0
AA-AA-000-0000,cou0001,2018-12-01,3,0,0,0
AA-AA-000-0000,cou0001,2019-03-01,3,0,0,0
AA-AA-000-0000,cou0001,2019-06-01,3,0,0,0
AA-AA-000-0000,cou0001,2019-09-01,3,0,0,0
AA-AA-000-0000,cou0001,2019-12-01,3,0,0,0
AA-AA-000-0000,cou0002,2003-12-01,2,0,0,0
AA-AA-000-0000,cou0002,2004-03-01,3,0,0,0
AA-AA-000-0000,cou0002,2004-06-01,3,0,0,0
AA-AA-000-0000,cou0002,2004-09-01,3,0,0,0
AA-AA-000-0000,cou0002,2004-12-01,3,0,0,0
AA-AA-000-0000,cou0002,2005-03-01,3,0,0,0
AA-AA-000-0000,cou0002,2005-06-01,3,0,0,0
AA-AA-000-0000,cou0002,2005-09-01,3,0,0,0
AA-AA-000-0000,cou0002,2005-12-01,3,0,0,0
AA-AA-000-0000,cou0002,2006-03-01,3,0,0,0
AA-AA-000-0000,cou0002,2006-06-01,3,0,0,0
AA-AA-000-0000,cou0002,2006-09-01,3,0,0,0
AA-AA-000-0000,cou0002,2006-12-01,3,0,0,0
AA-AA-000-0000,cou0002,2007-03-01,3,0,0,0
AA-AA-000-0000,cou0002,2007-06-01,3,0,0,0
AA-AA-000-0000,cou0002,2007-09-01,3,0,0,0
AA-AA-000-0000,cou0002,2007-12-01,3,0,0,0
AA-AA-000-0000,cou0002,2008-03-01,3,0,0,0
AA-AA-000-0000,cou0002,2008-06-01,3,0,0,0
AA-AA-000-0000,cou0002,2008-09-01,3,0,0,0
AA-AA-000-0000,cou0002,2008-12-01,3,0,0,0
AA-AA-000-0000,cou0002,2009-03-01,3,0,0,0
AA-AA-000-0000,cou0002,2009-06-01,3,0,0,0
AA-AA-000-0000,cou0002,2009-09-01,3,0,0,0
AA-AA-000-0000,cou0002,2009-12-01,3,0,0,0
AA-AA-000-0000,cou0002,2010-03-01,3,0,0,0
AA-AA-000-0000,cou0002,2010-06-01,3,0,0,0
AA-AA-000-0000,cou0002,2010-09-01,3,0,0,0
AA-AA-000-0000,cou0002,2010-12-01,3,0,0,0
AA-AA-000-0000,cou0002,2011-03-01,3,0,0,0
AA-AA-000-0000,cou0002,2011-06-01,3,0,0,0
AA-AA-000-0000,cou0002,2011-09-01,3,0,0,0
AA-AA-000-0000,cou0002,2011-12-01,3,0,0,0
AA-AA-000-0000,cou0002,2012-03-01,3,0,0,0
AA-AA-000-0000,cou0002,2012-06-01,3,0,0,0
AA-AA-000-0000,cou0002,2012-09-01,3,0,0,0
AA-AA-000-0000,cou0002,2012-12-01,3,0,0,0
AA-AA-000-0000,cou0002,2013-03-01,3,0,0,0
AA-AA-000-0000,cou0002,2013-06-01,3,0,0,0
AA-AA-000-0000,cou0002,2013-09-01,3,0,0,0
AA-AA-000-0000,cou0002,2013-12-01,3,0,0,0
AA-AA-000-0000,cou0002,2014-03-01,3,0,0,0
AA-AA-000-0000,cou0002,2014-06-01,3,0,0,0
AA-AA-000-0000,cou0002,2014-09-01,3,0,0,0
AA-AA-000-0000,cou0002,2014-12-01,3,0,0,0
AA-AA-000-0000,cou0002,2015-03-01,3,0,0,0
AA-AA-000-0000,cou0002,2015-06-01,3,0,0,0
AA-AA-000-0000,cou0002,2015-09-01,3,0,0,0
AA-AA-000-0000,cou0002,2015-12-01,3,0,0,0
AA-AA-000-0000,cou0002,2016-03-01,3,0,0,0
AA-AA-000-0000,cou0002,2016-06-01,3,0,0,0
AA-AA-000-0000,cou0002,2016-09-01,3,0,0,0
AA-AA-000-0000,cou0002,2016-12-01,3,0,0,0
AA-AA-000-0000,cou0002,2017-03-01,3,0,0,0
AA-AA-000-0000,cou0002,2017-06-01,3,0,0,0
AA-AA-000-0000,cou0002,2017-09-01,3,0,0,0
AA-AA-000-0000,cou0002,2017-12-01,3,0,0,0
AA-AA-000-0000,cou0002,2018-03-01,3,0,0,0
AA-AA-000-0000,cou0002,2018-06-01,3,0,0,0
AA-AA-000-0000,cou0002,2018-09-01,3,0,0,0
AA-AA-000-0000,cou0002,2018-12-01,3,0,0,0
AA-AA-000-0000,cou0002,2019-03-01,3,0,0,0
AA-AA-000-0000,cou0002,2019-06-01,3,0,0,0
AA-AA-000-0000,cou0002,2019-09-01,3,0,0,0
AA-AA-000-0000,cou0002,2019-12-01,3,0,0,0
AA-AA-000-0000,cou0003,2003-12-01,2,0,0,0
AA-AA-000-0000,cou0003,2004-03-01,3,0,0,0
AA-AA-000-0000,cou0003,2004-06-01,3,0,0,0
AA-AA-000-0000,cou0003,2004-09-01,3,0,0,0
AA-AA-000-0000,cou0003,2004-12-01,3,0,0,0
AA-AA-000-0000,cou0003,2005-03-01,3,0,0,0
AA-AA-000-0000,cou0003,2005-06-01,3,0,0,0
AA-AA-000-0000,cou0003,2005-09-01,3,0,0,0
AA-AA-000-0000,cou0003,2005-12-01,3,0,0,0
AA-AA-000-0000,cou0003,2006-03-01,3,0,0,0
AA-AA-000-0000,cou0003,2006-06-01,3,0,0,0
AA-AA-000-0000,cou0003,2006-09-01,3,0,0,0
AA-AA-000-0000,cou0003,2006-12-01,3,0,0,0
AA-AA-000-0000,cou0003,2007-03-01,3,0,0,0
AA-AA-000-0000,cou0003,2007-06-01,3,0,0,0
AA-AA-000-0000,cou0003,2007-09-01,3,0,0,0
AA-AA-000-0000,cou0003,2007-12-01,3,0,0,0
AA-AA-000-0000,cou0003,2008-03-01,3,0,0,0
AA-AA-000-0000,cou0003,2008-06-01,3,0,0,0
AA-AA-000-0000,cou0003,2008-09-01,3,0,0,0
AA-AA-000-0000,cou0003,2008-12-01,3,0,0,0
AA-AA-000-0000,cou0003,2009-03-01,3,0,0,0
AA-AA-000-0000,cou0003,2009-06-01,3,0,0,0
AA-AA-000-0000,cou0003,2009-09-01,3,0,0,0
AA-AA-000-0000,cou0003,2009-12-01,3,0,0,0
AA-AA-000-0000,cou0003,2010-03-01,3,0,0,0
AA-AA-000-0000,cou0003,2010-06-01,3,0,0,0
AA-AA-000-0000,cou0003,2010-09-01,3,0,0,0
AA-AA-000-0000,cou0003,2010-12-01,3,0,0,0
AA-AA-000-0000,cou0003,2011-03-01,3,0,0,0
AA-AA-000-0000,cou0003,2011-06-01,3,0,0,0
AA-AA-000-0000,cou0003,2011-09-01,3,0,0,0
AA-AA-000-0000,cou0003,2011-12-01,3,0,0,0
AA-AA-000-0000,cou0003,2012-03-01,3,0,0,0
AA-AA-000-0000,cou0003,2012-06-01,3,0,0,0
AA-AA-000-0000,cou0003,2012-09-01,3,0,0,0
AA-AA-000-0000,cou0003,2012-12-01,3,0,0,0
AA-AA-000-0000,cou0003,2013-03-01,3,0,0,0
AA-AA-000-0000,cou0003,2013-06-01,3,0,0,0
AA-AA-000-0000,cou0003,2013-09-01,3,0,0,0
AA-AA-000-0000,cou0003,2013-12-01,3,0,0,0
AA-AA-000-0000,cou0003,2014-03-01,3,0,0,0
AA-AA-000-0000,cou0003,2014-06-01,3,0,0,0
AA-AA-000-0000,cou0003,2014-09-01,3,0,0,0
AA-AA-000-0000,cou0003,2014-12-01,3,0,0,0
AA-AA-000-0000,cou0003,2015-03-01,3,0,0,0
AA-AA-000-0000,cou0003,2015-06-01,3,0,0,0
AA-AA-000-0000,cou0003,2015-09-01,3,0,0,0
AA-AA-000-0000,cou0003,2015-12-01,3,0,0,0
AA-AA-000-0000,cou0003,2016-03-01,3,0,0,0
AA-AA-000-0000,cou0003,2016-06-01,3,0,0,0
AA-AA-000-0000,cou0003,2016-09-01,3,0,0,0
AA-AA-000-0000,cou0003,2016-12-01,3,0,0,0
AA-AA-000-0000,cou0003,2017-03-01,3,0,0,0
AA-AA-000-0000,cou0003,2017-06-01,3,0,0,0
AA-AA-000-0000,cou0003,2017-09-01,3,0,0,0
AA-AA-000-0000,cou0003,2017-12-01,3,0,0,0
AA-AA-000-0000,cou0003,2018-03-01,3,0,0,0
AA-AA-000-0000,cou0003,2018-06-01,3,0,0,0
AA-AA-000-0000,cou0003,2018-09-01,3,0,0,0
AA-AA-000-0000,cou0003,2018-12-01,3,0,0,0
AA-AA-000-0000,cou0003,2019-03-01,3,0,0,0
AA-AA-000-0000,cou0003,2019-06-01,3,0,0,0
AA-AA-000-0000,cou0003,2019-09-01,3,0,0,0
AA-AA-000-0000,cou0003,2019-12-01,3,0,0,0
AA-AA-000-0000,cou0004,2003-12-01,2,0,0,0
AA-AA-000-0000,cou0004,2004-03-01,3,0,0,0
AA-AA-000-0000,cou0004,2004-06-01,3,0,0,0
AA-AA-000-0000,cou0004,2004-09-01,3,0,0,0
AA-AA-000-0000,cou0004,2004-12-01,3,0,0,0
AA-AA-000-0000,cou0004,2005-03-01,3,0,0,0
AA-AA-000-0000,cou0004,2005-06-01,3,0,0,0
AA-AA-000-0000,cou0004,2005-09-01,3,0,0,0
AA-AA-000-0000,cou0004,2005-12-01,3,0,0,0
AA-AA-000-0000,cou0004,2006-03-01,3,0,0,0
AA-AA-000-0000,cou0004,2006-06-01,3,0,0,0
AA-AA-000-0000,cou0004,2006-09-01,3,0,0,0
AA-AA-000-0000,cou0004,2006-12-01,3,0,0,0
AA-AA-000-0000,cou0004,2007-03-01,3,0,0,0
AA-AA-000-0000,cou0004,2007-06-01,3,0,0,0
AA-AA-000-0000,cou0004,2007-09-01,3,0,0,0
AA-AA-000-0000,cou0004,2007-12-01,3,0,0,0
AA-AA-000-0000,cou0004,2008-03-01,3,0,0,0
AA-AA-000-0000,cou0004,2008-06-01,3,0,0,0
AA-AA-000-0000,cou0004,2008-09-01,3,0,0,0
AA-AA-000-0000,cou0004,2008-12-01,3,0,0,0
AA-AA-000-0000,cou0004,2009-03-01,3,0,0,0
AA-AA-000-0000,cou0004,2009-06-01,3,0,0,0
AA-AA-000-0000,cou0004,2009-09-01,3,0,0,0
AA-AA-000-0000,cou0004,2009-12-01,3,0,0,0
AA-AA-000-0000,cou0004,2010-03-01,3,0,0,0
AA-AA-000-0000,cou0004,2010-06-01,3,0,0,0
AA-AA-000-0000,cou0004,2010-09-01,3,0,0,0
AA-AA-000-0000,cou0004,2010-12-01,3,0,0,0
AA-AA-000-0000,cou0004,2011-03-01,3,0,0,0
AA-AA-000-0000,cou0004,2011-06-01,3,0,0,0
