"MetricID","gsm_version","GroupLevel","Abbreviation","Metric","Numerator","Denominator","Outcome","Model","Score","Thresholds","data_inputs","data_filters","SnapshotDate"
"kri0001","1.4.1","Site","AE","Non-serious AE Reporting Rate","AEs","Days on Treatment","Rate","Normal Approximation (Rate)","Adjusted Z-Score","-2,-1,2,3","rawplus.ae, rawplus.dm","Non-Serious, TreatmentEmergent",2023-01-05
"kri0002","1.4.1","Site","SAE","SAE Reporting Rate","SAEs","Days on Treatment","Rate","Normal Approximation (Rate)","Adjusted Z-Score","-2,-1,2,3","rawplus.ae, rawplus.dm","Serious, TreatmentEmergent",2023-01-05
"kri0003","1.4.1","Site","PD","Non-important PD Rate","Non-important PDs","Days in Study","Rate","Normal Approximation (Rate)","Adjusted Z-Score","-3,-2,2,3","rawplus.pd, rawplus.dm","Non-Important",2023-01-05
"kri0004","1.4.1","Site","IPD","Important PD Rate","Important PDs","Days in Study","Rate","Normal Approximation (Rate)","Adjusted Z-Score","-3,-2,2,3","rawplus.pd, rawplus.dm","Important",2023-01-05
"kri0005","1.4.1","Site","LB","G3+ Lab Abnormality Rate","G3+ Abnormal Lab Samples","Total Lab Samples","Percent","Normal Approximation (Percent)","Adjusted Z-Score","-3,-2,2,3","rawplus.lb, rawplus.dm","Treatment emergent, Grade >= 3",2023-01-05
"kri0006","1.4.1","Site","SDSC","Study Discontinuation Rate","Subjects Discontinued - Study","Total Subjects","Percent","Normal Approximation (Percent)","Adjusted Z-Score","-3,-2,2,3","rawplus.studcomp, rawplus.dm","",2023-01-05
"kri0007","1.4.1","Site","TDSC","Treatment Discontinuation Rate","Subjects Discontinued - Treatment","Total Subjects","Percent","Normal Approximation (Percent)","Adjusted Z-Score","-3,-2,2,3","rawplus.sdrgcomp, rawplus.dm","",2023-01-05
"kri0008","1.4.1","Site","QRY","Query Rate","Queries","Total Data Points","Rate","Normal Approximation (Rate)","Adjusted Z-Score","-3,-2,2,3","rawplus.dm, edc.queries, edc.data_change_rate","",2023-01-05
"kri0009","1.4.1","Site","OQRY","Outstanding Query Rate","Queries Open > 30 Days","Total Queries","Percent","Normal Approximation (Percent)","Adjusted Z-Score","-3,-2,2,3","rawplus.dm, edc.queries","",2023-01-05
"kri0010","1.4.1","Site","ODAT","Outstanding Data Entry Rate","Data Pages Entered > 10 Days","Total Data Pages","Percent","Normal Approximation (Percent)","Adjusted Z-Score","-3,-2,2,3","rawplus.dm, edc.data_entry_lag","",2023-01-05
"kri0011","1.4.1","Site","CDAT","Data Change Rate","Data Points with 1+ Change","Total Data Points","Percent","Normal Approximation (Percent)","Adjusted Z-Score","-3,-2,2,3","rawplus.dm, edc.data_change_rate","",2023-01-05
"kri0012","1.4.1","Site","SF","Screen Failure Rate","Screen Failures","Total Screened","Percent","Normal Approximation (Percent)","Adjusted Z-Score","-3,-2,2,3","rawplus.enroll","",2023-01-05
"cou0001","1.4.1","Country","AE","Non-serious AE Reporting Rate","AEs","Days on Treatment","Rate","Normal Approximation (Rate)","Adjusted Z-Score","-2,-1,2,3","rawplus.ae, rawplus.dm","Non-Serious, TreatmentEmergent",2023-01-05
