StudyID,GroupLevel,MetricID,GroupID,Numerator,Denominator,Metric,Score,Flag,SnapshotDate
AA-AA-000-0000,Country,cou0001,China,1,1860,0.000537634,1.158221208,0,2003-12-01
AA-AA-000-0000,Country,cou0001,US,0,3789,0,-0.81149469,0,2003-12-01
AA-AA-000-0000,Country,cou0002,China,0,1860,0,0,0,2003-12-01
AA-AA-000-0000,Country,cou0002,US,0,3789,0,0,0,2003-12-01
AA-AA-000-0000,Country,cou0003,China,1,1917,0.000521648,1.159816823,0,2003-12-01
AA-AA-000-0000,Country,cou0003,US,1,3938,0.000253936,-0.809212541,0,2003-12-01
AA-AA-000-0000,Country,cou0004,China,1,1917,0.000521648,1.159816823,0,2003-12-01
AA-AA-000-0000,Country,cou0004,US,2,3938,0.000507872,-0.809212541,0,2003-12-01
AA-AA-000-0000,Country,cou0005,China,0,121,0,0,0,2003-12-01
AA-AA-000-0000,Country,cou0005,US,0,41,0,0,0,2003-12-01
AA-AA-000-0000,Country,cou0006,China,0,2,0,,,2003-12-01
AA-AA-000-0000,Country,cou0006,US,0,4,0,0,0,2003-12-01
AA-AA-000-0000,Country,cou0007,China,0,2,0,,,2003-12-01
AA-AA-000-0000,Country,cou0007,US,0,4,0,0,0,2003-12-01
AA-AA-000-0000,Country,cou0008,US,4,223,0.01793722,1.076331996,0,2003-12-01
AA-AA-000-0000,Country,cou0008,China,2,307,0.006514658,-0.917338233,0,2003-12-01
AA-AA-000-0000,Country,cou0009,China,0,2,0,,,2003-12-01
AA-AA-000-0000,Country,cou0009,US,0,4,0,,,2003-12-01
AA-AA-000-0000,Country,cou0010,US,2,26,0.076923077,,,2003-12-01
AA-AA-000-0000,Country,cou0010,China,0,36,0,-0.91581094,0,2003-12-01
AA-AA-000-0000,Country,cou0011,US,1,223,0.004484305,1.076331996,0,2003-12-01
AA-AA-000-0000,Country,cou0011,China,0,307,0,-0.917338233,0,2003-12-01
AA-AA-000-0000,Country,cou0012,Japan,1,1,1,,,2003-12-01
AA-AA-000-0000,Country,cou0012,China,3,5,0.6,0.56694671,0,2003-12-01
AA-AA-000-0000,Country,cou0012,US,2,6,0.333333333,-1.035098339,0,2003-12-01
AA-AA-000-0000,Site,kri0001,61,1,1007,0.000993049,2.220457197,1,2003-12-01
AA-AA-000-0000,Site,kri0001,77,0,1009,0,-0.482167116,0,2003-12-01
AA-AA-000-0000,Site,kri0001,189,0,930,0,-0.462906713,0,2003-12-01
AA-AA-000-0000,Site,kri0001,106,0,925,0,-0.461660664,0,2003-12-01
AA-AA-000-0000,Site,kri0001,26,0,925,0,-0.461660664,0,2003-12-01
AA-AA-000-0000,Site,kri0001,13,0,853,0,-0.443329387,0,2003-12-01
AA-AA-000-0000,Site,kri0002,106,0,925,0,0,0,2003-12-01
